index	date	traffic	Entity	Class	DayOfWeek	DayOfMonth	WeekOfYear	Month	Year	DaysFromStart	Delta
31	2020-02-01	165.55	A	High	5	1	5	2	2020	31.0	32.05000000000001
32	2020-02-02	112.6	A	High	6	2	5	2	2020	32.0	-52.95000000000002
33	2020-02-03	161.64999999999998	A	High	0	3	6	2	2020	33.0	49.04999999999998
34	2020-02-04	123.69999999999999	A	High	1	4	6	2	2020	34.0	-37.94999999999999
35	2020-02-05	104.75	A	High	2	5	6	2	2020	35.0	-18.94999999999999
36	2020-02-06	127.8	A	High	3	6	6	2	2020	36.0	23.049999999999997
37	2020-02-07	128.85	A	High	4	7	6	2	2020	37.0	1.0499999999999972
38	2020-02-08	130.89999999999998	A	High	5	8	6	2	2020	38.0	2.049999999999983
39	2020-02-09	115.94999999999999	A	High	6	9	6	2	2020	39.0	-14.949999999999989
40	2020-02-10	99.0	A	High	0	10	7	2	2020	40.0	-16.94999999999999
41	2020-02-11	102.04999999999998	A	High	1	11	7	2	2020	41.0	3.049999999999983
42	2020-02-12	129.1	A	High	2	12	7	2	2020	42.0	27.05000000000001
43	2020-02-13	81.14999999999999	A	High	3	13	7	2	2020	43.0	-47.95
44	2020-02-14	98.19999999999999	A	High	4	14	7	2	2020	44.0	17.049999999999997
45	2020-02-15	51.25	A	High	5	15	7	2	2020	45.0	-46.94999999999999
46	2020-02-16	50.29999999999998	A	High	6	16	7	2	2020	46.0	-0.950000000000017
47	2020-02-17	95.35	A	High	0	17	8	2	2020	47.0	45.05000000000001
48	2020-02-18	104.39999999999999	A	High	1	18	8	2	2020	48.0	9.049999999999997
49	2020-02-19	80.44999999999999	A	High	2	19	8	2	2020	49.0	-23.950000000000003
50	2020-02-20	33.5	A	High	3	20	8	2	2020	50.0	-46.94999999999999
51	2020-02-21	51.54999999999998	A	High	4	21	8	2	2020	51.0	18.049999999999983
52	2020-02-22	78.6	A	High	5	22	8	2	2020	52.0	27.05000000000001
53	2020-02-23	74.64999999999999	A	High	6	23	8	2	2020	53.0	-3.950000000000003
54	2020-02-24	39.69999999999999	A	High	0	24	9	2	2020	54.0	-34.95
55	2020-02-25	52.75	A	High	1	25	9	2	2020	55.0	13.050000000000011
56	2020-02-26	72.79999999999998	A	High	2	26	9	2	2020	56.0	20.049999999999983
57	2020-02-27	77.85	A	High	3	27	9	2	2020	57.0	5.050000000000011
58	2020-02-28	85.89999999999999	A	High	4	28	9	2	2020	58.0	8.049999999999997
59	2020-02-29	102.94999999999999	A	High	5	29	9	2	2020	59.0	17.049999999999997
60	2020-03-01	80.99999999999999	A	High	6	1	9	3	2020	60.0	-21.950000000000003
61	2020-03-02	100.04999999999998	A	High	0	2	10	3	2020	61.0	19.049999999999997
62	2020-03-03	86.1	A	High	1	3	10	3	2020	62.0	-13.949999999999989
63	2020-03-04	58.14999999999999	A	High	2	4	10	3	2020	63.0	-27.950000000000003
64	2020-03-05	79.19999999999999	A	High	3	5	10	3	2020	64.0	21.049999999999997
65	2020-03-06	66.24999999999999	A	High	4	6	10	3	2020	65.0	-12.950000000000003
66	2020-03-07	73.29999999999998	A	High	5	7	10	3	2020	66.0	7.049999999999997
67	2020-03-08	57.349999999999994	A	High	6	8	10	3	2020	67.0	-15.949999999999989
68	2020-03-09	115.39999999999999	A	High	0	9	11	3	2020	68.0	58.05
69	2020-03-10	109.44999999999999	A	High	1	10	11	3	2020	69.0	-5.950000000000003
70	2020-03-11	60.499999999999986	A	High	2	11	11	3	2020	70.0	-48.95
71	2020-03-12	92.54999999999998	A	High	3	12	11	3	2020	71.0	32.05
72	2020-03-13	124.6	A	High	4	13	11	3	2020	72.0	32.05000000000001
73	2020-03-14	136.64999999999998	A	High	5	14	11	3	2020	73.0	12.049999999999983
74	2020-03-15	143.7	A	High	6	15	11	3	2020	74.0	7.050000000000011
75	2020-03-16	89.74999999999999	A	High	0	16	12	3	2020	75.0	-53.95
76	2020-03-17	91.79999999999998	A	High	1	17	12	3	2020	76.0	2.049999999999997
77	2020-03-18	137.84999999999997	A	High	2	18	12	3	2020	77.0	46.04999999999998
78	2020-03-19	112.89999999999998	A	High	3	19	12	3	2020	78.0	-24.94999999999999
79	2020-03-20	162.95	A	High	4	20	12	3	2020	79.0	50.05000000000001
80	2020-03-21	177.0	A	High	5	21	12	3	2020	80.0	14.050000000000011
81	2020-03-22	116.04999999999998	A	High	6	22	12	3	2020	81.0	-60.95000000000002
82	2020-03-23	156.09999999999997	A	High	0	23	13	3	2020	82.0	40.04999999999998
83	2020-03-24	182.14999999999998	A	High	1	24	13	3	2020	83.0	26.05000000000001
84	2020-03-25	149.2	A	High	2	25	13	3	2020	84.0	-32.94999999999999
85	2020-03-26	158.25	A	High	3	26	13	3	2020	85.0	9.050000000000011
86	2020-03-27	187.29999999999998	A	High	4	27	13	3	2020	86.0	29.049999999999983
87	2020-03-28	209.34999999999997	A	High	5	28	13	3	2020	87.0	22.049999999999983
88	2020-03-29	194.39999999999998	A	High	6	29	13	3	2020	88.0	-14.949999999999989
89	2020-03-30	183.45	A	High	0	30	14	3	2020	89.0	-10.949999999999989
90	2020-03-31	240.5	A	High	1	31	14	3	2020	90.0	57.05000000000001
91	2020-04-01	194.54999999999998	A	High	2	1	14	4	2020	91.0	-45.95000000000002
92	2020-04-02	201.59999999999997	A	High	3	2	14	4	2020	92.0	7.049999999999983
93	2020-04-03	214.64999999999998	A	High	4	3	14	4	2020	93.0	13.050000000000011
94	2020-04-04	221.7	A	High	5	4	14	4	2020	94.0	7.050000000000011
95	2020-04-05	216.75	A	High	6	5	14	4	2020	95.0	-4.949999999999989
96	2020-04-06	267.79999999999995	A	High	0	6	15	4	2020	96.0	51.049999999999955
97	2020-04-07	263.84999999999997	A	High	1	7	15	4	2020	97.0	-3.9499999999999886
98	2020-04-08	269.9	A	High	2	8	15	4	2020	98.0	6.050000000000011
99	2020-04-09	230.95	A	High	3	9	15	4	2020	99.0	-38.94999999999999
100	2020-04-10	246.0	A	High	4	10	15	4	2020	100.0	15.050000000000011
101	2020-04-11	305.04999999999995	A	High	5	11	15	4	2020	101.0	59.049999999999955
102	2020-04-12	245.09999999999997	A	High	6	12	15	4	2020	102.0	-59.94999999999999
103	2020-04-13	303.15	A	High	0	13	16	4	2020	103.0	58.05000000000001
104	2020-04-14	270.2	A	High	1	14	16	4	2020	104.0	-32.94999999999999
105	2020-04-15	316.25	A	High	2	15	16	4	2020	105.0	46.05000000000001
106	2020-04-16	331.29999999999995	A	High	3	16	16	4	2020	106.0	15.049999999999955
107	2020-04-17	287.34999999999997	A	High	4	17	16	4	2020	107.0	-43.94999999999999
108	2020-04-18	278.4	A	High	5	18	16	4	2020	108.0	-8.949999999999989
109	2020-04-19	303.45	A	High	6	19	16	4	2020	109.0	25.05000000000001
110	2020-04-20	326.5	A	High	0	20	17	4	2020	110.0	23.05000000000001
111	2020-04-21	315.54999999999995	A	High	1	21	17	4	2020	111.0	-10.950000000000045
112	2020-04-22	325.59999999999997	A	High	2	22	17	4	2020	112.0	10.050000000000011
113	2020-04-23	316.65	A	High	3	23	17	4	2020	113.0	-8.949999999999989
114	2020-04-24	297.7	A	High	4	24	17	4	2020	114.0	-18.94999999999999
115	2020-04-25	313.75	A	High	5	25	17	4	2020	115.0	16.05000000000001
116	2020-04-26	307.79999999999995	A	High	6	26	17	4	2020	116.0	-5.9500000000000455
117	2020-04-27	360.84999999999997	A	High	0	27	18	4	2020	117.0	53.05000000000001
118	2020-04-28	350.9	A	High	1	28	18	4	2020	118.0	-9.949999999999989
119	2020-04-29	346.95	A	High	2	29	18	4	2020	119.0	-3.9499999999999886
120	2020-04-30	305.0	A	High	3	30	18	4	2020	120.0	-41.94999999999999
121	2020-05-01	361.04999999999995	A	High	4	1	18	5	2020	121.0	56.049999999999955
122	2020-05-02	333.09999999999997	A	High	5	2	18	5	2020	122.0	-27.94999999999999
123	2020-05-03	327.15	A	High	6	3	18	5	2020	123.0	-5.949999999999989
124	2020-05-04	360.2	A	High	0	4	19	5	2020	124.0	33.05000000000001
125	2020-05-05	346.25	A	High	1	5	19	5	2020	125.0	-13.949999999999989
126	2020-05-06	335.29999999999995	A	High	2	6	19	5	2020	126.0	-10.950000000000045
127	2020-05-07	350.34999999999997	A	High	3	7	19	5	2020	127.0	15.050000000000011
128	2020-05-08	349.4	A	High	4	8	19	5	2020	128.0	-0.9499999999999886
129	2020-05-09	293.45	A	High	5	9	19	5	2020	129.0	-55.94999999999999
130	2020-05-10	369.5	A	High	6	10	19	5	2020	130.0	76.05000000000001
131	2020-05-11	360.54999999999995	A	High	0	11	20	5	2020	131.0	-8.950000000000045
132	2020-05-12	340.59999999999997	A	High	1	12	20	5	2020	132.0	-19.94999999999999
133	2020-05-13	308.65	A	High	2	13	20	5	2020	133.0	-31.94999999999999
134	2020-05-14	310.7	A	High	3	14	20	5	2020	134.0	2.0500000000000114
135	2020-05-15	334.75	A	High	4	15	20	5	2020	135.0	24.05000000000001
136	2020-05-16	317.79999999999995	A	High	5	16	20	5	2020	136.0	-16.950000000000045
137	2020-05-17	350.84999999999997	A	High	6	17	20	5	2020	137.0	33.05000000000001
138	2020-05-18	339.9	A	High	0	18	21	5	2020	138.0	-10.949999999999989
139	2020-05-19	268.95	A	High	1	19	21	5	2020	139.0	-70.94999999999999
140	2020-05-20	287.0	A	High	2	20	21	5	2020	140.0	18.05000000000001
141	2020-05-21	325.04999999999995	A	High	3	21	21	5	2020	141.0	38.049999999999955
142	2020-05-22	337.09999999999997	A	High	4	22	21	5	2020	142.0	12.050000000000011
143	2020-05-23	296.15	A	High	5	23	21	5	2020	143.0	-40.94999999999999
144	2020-05-24	277.2	A	High	6	24	21	5	2020	144.0	-18.94999999999999
145	2020-05-25	310.25	A	High	0	25	22	5	2020	145.0	33.05000000000001
146	2020-05-26	258.29999999999995	A	High	1	26	22	5	2020	146.0	-51.950000000000045
147	2020-05-27	331.34999999999997	A	High	2	27	22	5	2020	147.0	73.05000000000001
148	2020-05-28	315.4	A	High	3	28	22	5	2020	148.0	-15.949999999999989
149	2020-05-29	228.44999999999993	A	High	4	29	22	5	2020	149.0	-86.95000000000005
150	2020-05-30	226.5	A	High	5	30	22	5	2020	150.0	-1.9499999999999318
151	2020-05-31	265.54999999999995	A	High	6	31	22	5	2020	151.0	39.049999999999955
152	2020-06-01	310.59999999999997	A	High	0	1	23	6	2020	152.0	45.05000000000001
153	2020-06-02	229.64999999999998	A	High	1	2	23	6	2020	153.0	-80.94999999999999
154	2020-06-03	243.69999999999996	A	High	2	3	23	6	2020	154.0	14.049999999999983
155	2020-06-04	242.74999999999997	A	High	3	4	23	6	2020	155.0	-0.9499999999999886
156	2020-06-05	235.79999999999998	A	High	4	5	23	6	2020	156.0	-6.949999999999989
157	2020-06-06	258.84999999999997	A	High	5	6	23	6	2020	157.0	23.049999999999983
158	2020-06-07	209.89999999999998	A	High	6	7	23	6	2020	158.0	-48.94999999999999
159	2020-06-08	229.94999999999996	A	High	0	8	24	6	2020	159.0	20.049999999999983
160	2020-06-09	210.99999999999997	A	High	1	9	24	6	2020	160.0	-18.94999999999999
161	2020-06-10	257.04999999999995	A	High	2	10	24	6	2020	161.0	46.04999999999998
162	2020-06-11	200.09999999999997	A	High	3	11	24	6	2020	162.0	-56.94999999999999
163	2020-06-12	265.15	A	High	4	12	24	6	2020	163.0	65.05000000000001
164	2020-06-13	226.19999999999996	A	High	5	13	24	6	2020	164.0	-38.95000000000002
165	2020-06-14	201.24999999999997	A	High	6	14	24	6	2020	165.0	-24.94999999999999
166	2020-06-15	180.29999999999998	A	High	0	15	25	6	2020	166.0	-20.94999999999999
167	2020-06-16	181.34999999999997	A	High	1	16	25	6	2020	167.0	1.049999999999983
168	2020-06-17	188.39999999999998	A	High	2	17	25	6	2020	168.0	7.050000000000011
169	2020-06-18	226.44999999999996	A	High	3	18	25	6	2020	169.0	38.04999999999998
170	2020-06-19	155.49999999999997	A	High	4	19	25	6	2020	170.0	-70.94999999999999
171	2020-06-20	191.54999999999998	A	High	5	20	25	6	2020	171.0	36.05000000000001
172	2020-06-21	216.59999999999997	A	High	6	21	25	6	2020	172.0	25.049999999999983
173	2020-06-22	245.64999999999998	A	High	0	22	26	6	2020	173.0	29.05000000000001
174	2020-06-23	163.69999999999996	A	High	1	23	26	6	2020	174.0	-81.95000000000002
175	2020-06-24	193.74999999999997	A	High	2	24	26	6	2020	175.0	30.05000000000001
176	2020-06-25	204.79999999999995	A	High	3	25	26	6	2020	176.0	11.049999999999983
177	2020-06-26	218.84999999999997	A	High	4	26	26	6	2020	177.0	14.050000000000011
178	2020-06-27	240.89999999999998	A	High	5	27	26	6	2020	178.0	22.05000000000001
179	2020-06-28	235.94999999999996	A	High	6	28	26	6	2020	179.0	-4.950000000000017
180	2020-06-29	219.99999999999997	A	High	0	29	27	6	2020	180.0	-15.949999999999989
181	2020-06-30	211.04999999999995	A	High	1	30	27	6	2020	181.0	-8.950000000000017
182	2020-07-01	239.09999999999997	A	High	2	1	27	7	2020	182.0	28.05000000000001
183	2020-07-02	225.14999999999998	A	High	3	2	27	7	2020	183.0	-13.949999999999989
184	2020-07-03	197.19999999999996	A	High	4	3	27	7	2020	184.0	-27.950000000000017
185	2020-07-04	202.24999999999997	A	High	5	4	27	7	2020	185.0	5.050000000000011
186	2020-07-05	206.29999999999995	A	High	6	5	27	7	2020	186.0	4.049999999999983
187	2020-07-06	243.34999999999997	A	High	0	6	28	7	2020	187.0	37.05000000000001
188	2020-07-07	221.39999999999998	A	High	1	7	28	7	2020	188.0	-21.94999999999999
189	2020-07-08	217.44999999999996	A	High	2	8	28	7	2020	189.0	-3.950000000000017
190	2020-07-09	183.49999999999997	A	High	3	9	28	7	2020	190.0	-33.94999999999999
191	2020-07-10	199.54999999999995	A	High	4	10	28	7	2020	191.0	16.049999999999983
192	2020-07-11	218.59999999999997	A	High	5	11	28	7	2020	192.0	19.05000000000001
193	2020-07-12	214.64999999999998	A	High	6	12	28	7	2020	193.0	-3.9499999999999886
194	2020-07-13	244.69999999999996	A	High	0	13	29	7	2020	194.0	30.049999999999983
195	2020-07-14	258.75	A	High	1	14	29	7	2020	195.0	14.05000000000004
196	2020-07-15	226.79999999999995	A	High	2	15	29	7	2020	196.0	-31.950000000000045
197	2020-07-16	225.84999999999997	A	High	3	16	29	7	2020	197.0	-0.9499999999999886
198	2020-07-17	234.89999999999998	A	High	4	17	29	7	2020	198.0	9.050000000000011
199	2020-07-18	297.94999999999993	A	High	5	18	29	7	2020	199.0	63.049999999999955
200	2020-07-19	276.0	A	High	6	19	29	7	2020	200.0	-21.949999999999932
201	2020-07-20	263.04999999999995	A	High	0	20	30	7	2020	201.0	-12.950000000000045
202	2020-07-21	290.09999999999997	A	High	1	21	30	7	2020	202.0	27.05000000000001
203	2020-07-22	301.15	A	High	2	22	30	7	2020	203.0	11.050000000000011
204	2020-07-23	259.19999999999993	A	High	3	23	30	7	2020	204.0	-41.950000000000045
205	2020-07-24	323.25	A	High	4	24	30	7	2020	205.0	64.05000000000007
206	2020-07-25	278.29999999999995	A	High	5	25	30	7	2020	206.0	-44.950000000000045
207	2020-07-26	282.34999999999997	A	High	6	26	30	7	2020	207.0	4.050000000000011
208	2020-07-27	277.4	A	High	0	27	31	7	2020	208.0	-4.949999999999989
209	2020-07-28	295.44999999999993	A	High	1	28	31	7	2020	209.0	18.049999999999955
210	2020-07-29	356.5	A	High	2	29	31	7	2020	210.0	61.05000000000007
211	2020-07-30	313.54999999999995	A	High	3	30	31	7	2020	211.0	-42.950000000000045
212	2020-07-31	359.59999999999997	A	High	4	31	31	7	2020	212.0	46.05000000000001
213	2020-08-01	308.65	A	High	5	1	31	8	2020	213.0	-50.94999999999999
214	2020-08-02	327.69999999999993	A	High	6	2	31	8	2020	214.0	19.049999999999955
215	2020-08-03	338.75	A	High	0	3	32	8	2020	215.0	11.050000000000068
216	2020-08-04	327.79999999999995	A	High	1	4	32	8	2020	216.0	-10.950000000000045
217	2020-08-05	352.84999999999997	A	High	2	5	32	8	2020	217.0	25.05000000000001
218	2020-08-06	386.9	A	High	3	6	32	8	2020	218.0	34.05000000000001
219	2020-08-07	405.94999999999993	A	High	4	7	32	8	2020	219.0	19.049999999999955
220	2020-08-08	399.0	A	High	5	8	32	8	2020	220.0	-6.949999999999932
221	2020-08-09	347.04999999999995	A	High	6	9	32	8	2020	221.0	-51.950000000000045
222	2020-08-10	407.09999999999997	A	High	0	10	33	8	2020	222.0	60.05000000000001
223	2020-08-11	421.15	A	High	1	11	33	8	2020	223.0	14.050000000000011
224	2020-08-12	426.19999999999993	A	High	2	12	33	8	2020	224.0	5.0499999999999545
225	2020-08-13	397.25	A	High	3	13	33	8	2020	225.0	-28.949999999999932
226	2020-08-14	447.29999999999995	A	High	4	14	33	8	2020	226.0	50.049999999999955
227	2020-08-15	404.34999999999997	A	High	5	15	33	8	2020	227.0	-42.94999999999999
228	2020-08-16	426.4	A	High	6	16	33	8	2020	228.0	22.05000000000001
229	2020-08-17	467.44999999999993	A	High	0	17	34	8	2020	229.0	41.049999999999955
230	2020-08-18	403.5	A	High	1	18	34	8	2020	230.0	-63.94999999999993
231	2020-08-19	411.54999999999995	A	High	2	19	34	8	2020	231.0	8.049999999999955
232	2020-08-20	448.59999999999997	A	High	3	20	34	8	2020	232.0	37.05000000000001
233	2020-08-21	453.65	A	High	4	21	34	8	2020	233.0	5.050000000000011
234	2020-08-22	427.69999999999993	A	High	5	22	34	8	2020	234.0	-25.950000000000045
235	2020-08-23	424.75	A	High	6	23	34	8	2020	235.0	-2.949999999999932
236	2020-08-24	475.79999999999995	A	High	0	24	35	8	2020	236.0	51.049999999999955
237	2020-08-25	464.84999999999997	A	High	1	25	35	8	2020	237.0	-10.949999999999989
238	2020-08-26	443.9	A	High	2	26	35	8	2020	238.0	-20.94999999999999
239	2020-08-27	442.94999999999993	A	High	3	27	35	8	2020	239.0	-0.9500000000000455
240	2020-08-28	487.99999999999994	A	High	4	28	35	8	2020	240.0	45.05000000000001
241	2020-08-29	471.04999999999995	A	High	5	29	35	8	2020	241.0	-16.94999999999999
242	2020-08-30	457.09999999999997	A	High	6	30	35	8	2020	242.0	-13.949999999999989
243	2020-08-31	444.15	A	High	0	31	36	8	2020	243.0	-12.949999999999989
244	2020-09-01	452.19999999999993	A	High	1	1	36	9	2020	244.0	8.049999999999955
245	2020-09-02	501.24999999999994	A	High	2	2	36	9	2020	245.0	49.05000000000001
246	2020-09-03	486.29999999999995	A	High	3	3	36	9	2020	246.0	-14.949999999999989
247	2020-09-04	462.34999999999997	A	High	4	4	36	9	2020	247.0	-23.94999999999999
248	2020-09-05	441.4	A	High	5	5	36	9	2020	248.0	-20.94999999999999
249	2020-09-06	469.44999999999993	A	High	6	6	36	9	2020	249.0	28.049999999999955
250	2020-09-07	465.49999999999994	A	High	0	7	37	9	2020	250.0	-3.9499999999999886
251	2020-09-08	467.54999999999995	A	High	1	8	37	9	2020	251.0	2.0500000000000114
252	2020-09-09	432.59999999999997	A	High	2	9	37	9	2020	252.0	-34.94999999999999
253	2020-09-10	450.65	A	High	3	10	37	9	2020	253.0	18.05000000000001
254	2020-09-11	461.69999999999993	A	High	4	11	37	9	2020	254.0	11.049999999999955
255	2020-09-12	493.74999999999994	A	High	5	12	37	9	2020	255.0	32.05000000000001
256	2020-09-13	438.79999999999995	A	High	6	13	37	9	2020	256.0	-54.94999999999999
257	2020-09-14	433.84999999999997	A	High	0	14	38	9	2020	257.0	-4.949999999999989
258	2020-09-15	409.9	A	High	1	15	38	9	2020	258.0	-23.94999999999999
259	2020-09-16	447.94999999999993	A	High	2	16	38	9	2020	259.0	38.049999999999955
260	2020-09-17	462.99999999999994	A	High	3	17	38	9	2020	260.0	15.050000000000011
261	2020-09-18	466.04999999999995	A	High	4	18	38	9	2020	261.0	3.0500000000000114
262	2020-09-19	419.09999999999997	A	High	5	19	38	9	2020	262.0	-46.94999999999999
263	2020-09-20	394.15	A	High	6	20	38	9	2020	263.0	-24.94999999999999
264	2020-09-21	426.19999999999993	A	High	0	21	39	9	2020	264.0	32.049999999999955
265	2020-09-22	415.24999999999994	A	High	1	22	39	9	2020	265.0	-10.949999999999989
266	2020-09-23	435.29999999999995	A	High	2	23	39	9	2020	266.0	20.05000000000001
267	2020-09-24	430.34999999999997	A	High	3	24	39	9	2020	267.0	-4.949999999999989
268	2020-09-25	437.4	A	High	4	25	39	9	2020	268.0	7.050000000000011
269	2020-09-26	406.44999999999993	A	High	5	26	39	9	2020	269.0	-30.950000000000045
270	2020-09-27	432.49999999999994	A	High	6	27	39	9	2020	270.0	26.05000000000001
271	2020-09-28	412.54999999999995	A	High	0	28	40	9	2020	271.0	-19.94999999999999
272	2020-09-29	431.59999999999997	A	High	1	29	40	9	2020	272.0	19.05000000000001
273	2020-09-30	403.65	A	High	2	30	40	9	2020	273.0	-27.94999999999999
274	2020-10-01	371.69999999999993	A	High	3	1	40	10	2020	274.0	-31.950000000000045
275	2020-10-02	368.74999999999994	A	High	4	2	40	10	2020	275.0	-2.9499999999999886
276	2020-10-03	356.79999999999995	A	High	5	3	40	10	2020	276.0	-11.949999999999989
277	2020-10-04	369.84999999999997	A	High	6	4	40	10	2020	277.0	13.050000000000011
278	2020-10-05	327.9	A	High	0	5	41	10	2020	278.0	-41.94999999999999
279	2020-10-06	388.94999999999993	A	High	1	6	41	10	2020	279.0	61.049999999999955
280	2020-10-07	390.99999999999994	A	High	2	7	41	10	2020	280.0	2.0500000000000114
281	2020-10-08	361.04999999999995	A	High	3	8	41	10	2020	281.0	-29.94999999999999
282	2020-10-09	361.09999999999997	A	High	4	9	41	10	2020	282.0	0.05000000000001137
283	2020-10-10	323.15	A	High	5	10	41	10	2020	283.0	-37.94999999999999
284	2020-10-11	327.19999999999993	A	High	6	11	41	10	2020	284.0	4.0499999999999545
285	2020-10-12	332.24999999999994	A	High	0	12	42	10	2020	285.0	5.050000000000011
286	2020-10-13	337.29999999999995	A	High	1	13	42	10	2020	286.0	5.050000000000011
287	2020-10-14	376.34999999999997	A	High	2	14	42	10	2020	287.0	39.05000000000001
288	2020-10-15	308.4	A	High	3	15	42	10	2020	288.0	-67.94999999999999
289	2020-10-16	321.44999999999993	A	High	4	16	42	10	2020	289.0	13.049999999999955
290	2020-10-17	323.49999999999994	A	High	5	17	42	10	2020	290.0	2.0500000000000114
291	2020-10-18	298.54999999999995	A	High	6	18	42	10	2020	291.0	-24.94999999999999
292	2020-10-19	361.59999999999997	A	High	0	19	43	10	2020	292.0	63.05000000000001
293	2020-10-20	343.6499999999999	A	High	1	20	43	10	2020	293.0	-17.950000000000045
294	2020-10-21	287.69999999999993	A	High	2	21	43	10	2020	294.0	-55.94999999999999
295	2020-10-22	328.74999999999994	A	High	3	22	43	10	2020	295.0	41.05000000000001
296	2020-10-23	311.79999999999995	A	High	4	23	43	10	2020	296.0	-16.94999999999999
297	2020-10-24	321.84999999999997	A	High	5	24	43	10	2020	297.0	10.050000000000011
298	2020-10-25	340.8999999999999	A	High	6	25	43	10	2020	298.0	19.049999999999955
299	2020-10-26	313.94999999999993	A	High	0	26	44	10	2020	299.0	-26.94999999999999
300	2020-10-27	299.99999999999994	A	High	1	27	44	10	2020	300.0	-13.949999999999989
301	2020-10-28	304.04999999999995	A	High	2	28	44	10	2020	301.0	4.050000000000011
302	2020-10-29	323.09999999999997	A	High	3	29	44	10	2020	302.0	19.05000000000001
303	2020-10-30	303.1499999999999	A	High	4	30	44	10	2020	303.0	-19.950000000000045
304	2020-10-31	332.19999999999993	A	High	5	31	44	10	2020	304.0	29.05000000000001
305	2020-11-01	313.24999999999994	A	High	6	1	44	11	2020	305.0	-18.94999999999999
306	2020-11-02	315.29999999999995	A	High	0	2	45	11	2020	306.0	2.0500000000000114
307	2020-11-03	336.34999999999997	A	High	1	3	45	11	2020	307.0	21.05000000000001
308	2020-11-04	310.3999999999999	A	High	2	4	45	11	2020	308.0	-25.950000000000045
309	2020-11-05	306.44999999999993	A	High	3	5	45	11	2020	309.0	-3.9499999999999886
310	2020-11-06	309.49999999999994	A	High	4	6	45	11	2020	310.0	3.0500000000000114
311	2020-11-07	380.54999999999995	A	High	5	7	45	11	2020	311.0	71.05000000000001
312	2020-11-08	381.59999999999997	A	High	6	8	45	11	2020	312.0	1.0500000000000114
313	2020-11-09	368.6499999999999	A	High	0	9	46	11	2020	313.0	-12.950000000000045
314	2020-11-10	338.69999999999993	A	High	1	10	46	11	2020	314.0	-29.94999999999999
315	2020-11-11	353.74999999999994	A	High	2	11	46	11	2020	315.0	15.050000000000011
316	2020-11-12	375.79999999999995	A	High	3	12	46	11	2020	316.0	22.05000000000001
317	2020-11-13	407.84999999999997	A	High	4	13	46	11	2020	317.0	32.05000000000001
318	2020-11-14	371.8999999999999	A	High	5	14	46	11	2020	318.0	-35.950000000000045
319	2020-11-15	347.94999999999993	A	High	6	15	46	11	2020	319.0	-23.94999999999999
320	2020-11-16	351.99999999999994	A	High	0	16	47	11	2020	320.0	4.050000000000011
321	2020-11-17	355.04999999999995	A	High	1	17	47	11	2020	321.0	3.0500000000000114
